,Brewery,brewery_id,review_overall,latitude,longitude,google_rating
1108,Crown Brewing,17278,3.79,41.4158226,-87.36357629999999,4.3
1110,Crystal Springs Brewing Company,23318,3.36,39.960729,-105.119991,4.7
1113,Cumberland Brews,9529,3.97,38.2309012,-85.705441,4.3
1116,Cutters Brewing Company,26521,3.97,39.76185,-86.3454982,3.5
1127,Dark Horse Brewing Company,1471,3.9,42.2662122,-84.96362909999999,4.5
1132,Das Bierhaus,15522,3.77,39.2717631,-76.6117518,4.5
1133,Day Brewing Company,4922,3.5,44.975189,-93.253061,4.3
1140,De Ridder Brewery,198,3.92,30.84686099999999,-93.2870981,4.4
1143,Dead Frog Brewing,14598,3.52,49.1629505,-122.6667835,4.4
1144,Deans Brothers Brewing Company,17891,4.25,33.7353192,-117.853255,0
1147,Deep Ellum Brewing Company,27403,4.33,32.7808028,-96.78165969999999,4.7
1151,Delafield Brewhaus,3441,3.89,43.0481771,-88.35527119999999,4.2
1160,Depot Street Brewing,10202,3.39,36.2860325,-82.48168679999999,4.5
1161,Der Blokken Brewery,23014,3.64,47.5704176,-122.6137453,4.2
1166,Desert Edge Brewery,1413,3.35,40.757256,-111.8730339,4
1169,Detroit Brew Factory,5598,3.5,42.33594,-83.04886189999999,4
1170,Devils Backbone Brewing Company,18539,3.99,37.8138902,-79.39824589999999,4.6
1171,Diamond Bear Brewing Company,414,3.69,34.7591554,-92.27226449999999,4.7
1172,Diamond Beer Brewing Company,11748,3.0,34.7591554,-92.27226449999999,4.7
1176,Dillon Dam Brewery,907,3.9,39.627544,-106.060298,4.4
1181,Dogwood Brewing Company,940,3.8,49.2098834,-123.0814873,4.7
1190,Dostal Alley Brewpub,3354,2.96,39.8001831,-105.5124983,4
1193,Dragonmead Microbrewery,2085,3.8,42.4926954,-82.97522889999999,4.6
1194,Draper Brewing,24549,3.08,43.2085271,-123.3446373,4.9
1195,Draught Works,27119,4.21,46.8780262,-114.003458,4.8
1198,Driftwood Brewery,18858,4.18,48.4369524,-123.374247,4.5
1204,Dunbar Brewing,20757,4.0,35.3927218,-120.6062514,4.8
1205,Dunedin Brewery,1620,3.55,28.014018,-82.7876137,4.5
1206,Duneland,5393,1.5,41.5832246,-87.0424393,0
1209,Dunsmuir Brewery Works,24147,3.75,41.2119588,-122.2718549,4.5
1210,Duquesne Bottling Company,23416,3.53,40.316185,-80.0884265,5
1211,Durango Brewing,1525,3.5,37.27998660000001,-107.8768544,4.5
1214,Dusters Restaurant and The Gottberg Brew Pub,3066,3.45,41.4296772,-97.3621953,4.2
1219,Eagle Rock Brewery,21651,3.93,34.1150098,-118.2435318,4.6
1222,East End Brewing Company,10485,4.07,40.4592392,-79.9118146,4.7
1223,Eastern Shore Brewing,18089,2.96,38.7813844,-76.22193419999999,4.4
1225,Edenton Brewing Company,8148,3.87,36.0576902,-76.60912309999999,4.9
1231,Einhorn Beer Company,18079,3.86,35.2423642,-120.645103,0
1234,El Cajon Brewing Company,27118,3.69,32.8117301,-116.9723662,4.7
1235,El Dorado Brewing Company,25338,4.0,38.694498,-120.834208,4.7
1236,El Segundo Brewing Company,25920,4.38,33.9176954,-118.415648,4.8
1240,Element Brewing Company,22202,3.99,42.578857,-72.4949573,4.8
1241,Elevation 66 Brewing,25256,3.5,37.9020524,-122.3029394,4.4
1244,Elk Head Brewing Company,9820,2.7,47.1590459,-122.0527856,4.9
1245,Elk Mountain Brewing,23212,3.46,39.527035,-104.770215,4.6
1247,Ellersick Brewing Company,12471,3.63,47.809785,-122.302111,4.5
1248,Ellicott Mills Brewing Company,1926,3.76,39.2681607,-76.79963959999999,4.3
1249,Elliot Glacier Public House,5312,4.04,45.381111,-121.680278,5
1250,Elmwood Brewing Company,9884,2.83,29.9172169,-90.0982332,4.4
1254,Elysian Tangletown,4379,3.5,47.66883199999999,-122.333519,4.1
1255,Embers Grill,14358,3.7,42.82100550000001,-77.66947499999999,4.7
1256,Emerald City Beer Company,23552,3.62,47.5765665,-122.3204791,4
1259,Empire Brewing Company,1398,3.84,43.048058,-76.154538,4.2
1261,Empyrean Brewing Company,1880,3.74,40.8152364,-96.71080669999999,3.9
1265,Enegren Brewing Company,25260,4.28,34.2831012,-118.8706701,4.8
1268,English Ales Brewery,3055,3.75,36.6802453,-121.8037568,4.4
1269,Epic Ales,22116,3.45,47.6269395,-122.342597,4.1
1271,Equinox Brewing Company,22886,3.99,40.5863502,-105.0758137,4.7
1276,Estes Park Brewery,905,3.16,40.37141889999999,-105.526121,3
1277,Etna Brewery,8540,3.86,41.731692,-122.637297,4.5
1278,Eugene City Brewery,11835,3.85,44.0452338,-123.0921643,4.3
1280,Evolution Craft Brewing Company,19897,3.93,38.3618473,-75.59605069999999,4.5
1281,Exit 6 Brewery,26536,3.62,38.744764,-90.640093,4.4
1296,Fantasy Brewmasters,24826,3.75,26.1618892,-81.75327829999999,0
1302,Faultline Brewing Company,803,3.55,37.3876487,-121.9924739,4
1303,Fearless Brewing Company,8606,3.61,45.28742219999999,-122.334833,3.7
1304,Feather River Brewing Co,4873,3.0,39.84181299999999,-121.5782429,5
